"B (Tesla)" 	"P"
0 	0
0.029999999999999999 	0.014
0.040000000000000001 	0.025999999999999999
0.050000000000000003 	0.041500000000000002
0.059999999999999998 	0.060999999999999999
0.070000000000000007 	0.084500000000000006
0.080000000000000002 	0.112
0.089999999999999997 	0.14299999999999999
0.10000000000000001 	0.17799999999999999
0.14999999999999999 	0.39800000000000002
0.20000000000000001 	0.68300000000000005
0.25 	1.032
0.29999999999999999 	1.4710000000000001
0.34999999999999998 	1.9450000000000001
0.40000000000000002 	2.4750000000000001
0.45000000000000001 	3.0609999999999999
0.5 	3.6989999999999998
0.55000000000000004 	4.3890000000000002
0.59999999999999998 	5.1310000000000002
0.65000000000000002 	6.032
0.69999999999999996 	6.9009999999999998
0.75 	7.8090000000000002
0.80000000000000004 	8.7620000000000005
0.84999999999999998 	9.9689999999999994
0.90000000000000002 	11.039999999999999
0.94999999999999996 	12.411
1 	13.6
1.1000000000000001 	16.75
1.2 	20.25
1.3 	24
1.3999999999999999 	28.600000000000001
1.5 	34
