"B (Tesla)" 	"P"
0 	0
0.01 	0.069000000000000006
0.02 	0.28599999999999998
0.029999999999999999 	0.63500000000000001
0.040000000000000001 	1.0988
0.050000000000000003 	1.6757
0.059999999999999998 	2.3300000000000001
0.070000000000000007 	3.1248999999999998
0.080000000000000002 	3.9701
0.089999999999999997 	4.9035000000000002
0.10000000000000001 	5.9555999999999996
0.14999999999999999 	12.457599999999999
0.20000000000000001 	21.222999999999999
0.25 	31.800000000000001
0.29999999999999999 	44.618000000000002
0.34999999999999998 	59.5
0.40000000000000002 	77
0.45000000000000001 	97.674000000000007
