"B (Tesla)" 	"P"
0 	0
0.040000000000000001 	0.01
0.050000000000000003 	0.016400000000000001
0.059999999999999998 	0.024
0.070000000000000007 	0.034000000000000002
0.080000000000000002 	0.043999999999999997
0.089999999999999997 	0.056300000000000003
0.10000000000000001 	0.070499999999999993
0.14999999999999999 	0.161
0.20000000000000001 	0.28000000000000003
0.25 	0.42199999999999999
0.29999999999999999 	0.60099999999999998
0.34999999999999998 	0.78000000000000003
0.40000000000000002 	0.98999999999999999
0.45000000000000001 	1.2350000000000001
0.5 	1.4850000000000001
0.55000000000000004 	1.76
0.59999999999999998 	2.0350000000000001
0.65000000000000002 	2.3599999999999999
0.69999999999999996 	2.6699999999999999
0.75 	3
0.80000000000000004 	3.3500000000000001
0.84999999999999998 	3.73
0.90000000000000002 	4.1299999999999999
0.94999999999999996 	4.5599999999999996
1 	5
1.1000000000000001 	6
1.2 	7.21
1.3 	8.4000000000000004
1.3999999999999999 	9.8399999999999999
1.5 	11.6
