"B (Tesla)" 	"P"
0 	0
0.5 	0.72999999999999998
0.55000000000000004 	0.81100000000000005
0.59999999999999998 	0.91600000000000004
0.65000000000000002 	1.026
0.69999999999999996 	1.145
0.75 	1.2709999999999999
0.80000000000000004 	1.4159999999999999
0.84999999999999998 	1.556
0.90000000000000002 	1.7170000000000001
0.94999999999999996 	1.877
1 	2.0459999999999998
1.05 	2.2309999999999999
1.1000000000000001 	2.4159999999999999
1.1499999999999999 	2.637
1.2 	2.8570000000000002
1.25 	3.0899999999999999
1.3 	3.3460000000000001
1.3500000000000001 	3.6099999999999999
1.3999999999999999 	3.8999999999999999
1.45 	4.2400000000000002
1.5 	4.5899999999999999
1.55 	4.9400000000000004
1.6000000000000001 	5.2999999999999998
1.6499999999999999 	5.7000000000000002
1.7 	6.1500000000000004
