"B (Tesla)" 	"P"
0 	0
0.02 	0.016400000000000001
0.029999999999999999 	0.039
0.040000000000000001 	0.070999999999999994
0.050000000000000003 	0.113
0.059999999999999998 	0.16600000000000001
0.070000000000000007 	0.22800000000000001
0.080000000000000002 	0.29999999999999999
0.089999999999999997 	0.38
0.10000000000000001 	0.47299999999999998
0.14999999999999999 	1.05
0.20000000000000001 	1.8
0.25 	2.7530000000000001
0.29999999999999999 	3.8250000000000002
0.34999999999999998 	5.1500000000000004
0.40000000000000002 	6.5410000000000004
0.45000000000000001 	8.0779999999999994
0.5 	9.7530000000000001
0.55000000000000004 	11.803000000000001
0.59999999999999998 	14.074999999999999
0.65000000000000002 	15.909000000000001
0.69999999999999996 	18.532
0.75 	20.962
0.80000000000000004 	24.004000000000001
0.84999999999999998 	27.300999999999998
0.90000000000000002 	30.856999999999999
0.94999999999999996 	34.680999999999997
1 	38
1.1000000000000001 	47.899999999999999
1.2 	59
1.3 	71.900000000000006
1.3999999999999999 	87
