"B (Tesla)" 	"P"
0 	0
0.5 	0.92800000000000005
0.55000000000000004 	1.0329999999999999
0.59999999999999998 	1.165
0.65000000000000002 	1.3109999999999999
0.69999999999999996 	1.468
0.75 	1.6319999999999999
0.80000000000000004 	1.8069999999999999
0.84999999999999998 	1.98
0.90000000000000002 	2.181
0.94999999999999996 	2.3820000000000001
1 	2.6019999999999999
1.05 	2.8220000000000001
1.1000000000000001 	3.0640000000000001
1.1499999999999999 	3.3090000000000002
1.2 	3.585
1.25 	3.8799999999999999
1.3 	4.2089999999999996
1.3500000000000001 	4.5570000000000004
1.3999999999999999 	4.9409999999999998
1.45 	5.3239999999999998
1.5 	5.7439999999999998
1.55 	6.157
1.6000000000000001 	6.5999999999999996
1.6499999999999999 	7.0839999999999996
1.7 	7.5620000000000003
